Date,Open,High,Low,Close,Volume
2012-05-06,206.71,208.929,204.4,155.1266199605,14699600
2012-05-13,203.96,204.77,199.06,152.8780764251,17219400
2012-05-20,199.92,201.4679,195.16,148.8579689325,22381000
2012-05-27,195.98,198.26,193.2,147.6572562977,17970000
2012-06-03,195.22,198.08,188.6,143.6903449345,21714900
2012-06-10,188.34,195.8299,187.0,148.2956098504,18002600
2012-06-17,196.6,199.27,192.14,151.3049908845,19518700
2012-06-24,197.57,199.99,193.19,147.2012894743,23194300
2012-07-01,192.48,195.81,188.9,148.6299855208,18637100
2012-07-08,196.36,197.2,189.74,145.4610160985,11920500
2012-07-15,190.76,191.14,181.85,141.3573146883,22998800
2012-07-22,185.58,196.85,183.2,146.2513585923,31507600
2012-07-29,189.78,197.41,188.2,149.2455407324,18795600
2012-08-05,196.32,198.95,193.02,150.8642229553,14944000
2012-08-12,198.76,200.88,197.24,152.0961772099,12376100
2012-08-19,198.88,202.0,197.72,153.5691343177,12373700
2012-08-26,200.69,201.13,194.2,150.9361280887,14140300
2012-09-02,197.96,198.3,193.18,148.7076126717,13113600
2012-09-09,196.61,199.5,193.25,152.2564471542,15172300
2012-09-16,199.39,207.65,198.73,157.8353675988,19339300
2012-09-23,205.55,207.99,205.3,157.2019197234,24867400
2012-09-30,205.02,208.32,203.9,158.3238093341,17962400
2012-10-07,208.01,211.79,207.94,160.7202265975,17786100
2012-10-14,210.02,210.74,205.05,158.590925908,15209500
2012-10-21,208.88,211.0,193.18,147.5704592568,37283100
2012-10-28,193.71,194.68,190.56,147.5017721378,19824000
2012-11-04,194.8,198.0,193.29,147.6238825716,14071200
2012-11-11,192.36,196.75,188.88,145.3749451492,17977200
2012-11-18,190.03,190.88,184.78,143.3051689843,18951000
2012-11-25,188.62,193.49,188.25,148.3262926435,15826300
2012-12-02,192.45,193.37,189.27,145.704576168,21119100
2012-12-09,190.76,192.2,186.94,147.1457536458,18850300
2012-12-16,192.17,194.8,191.26,147.0001027304,19274500
2012-12-23,191.76,196.45,191.57,148.27263178,24598600
2012-12-30,193.05,193.83,189.83,145.5205960645,11911900
2013-01-06,189.23,196.35,188.84,148.7095845259,15943900
2013-01-13,193.4,195.0,191.28,149.0622130577,16589700
2013-01-20,192.82,195.0,190.39,149.077544733,19748400
2013-01-27,194.36,208.58,194.01,157.1266742629,27508900
2013-02-03,204.85,206.22,202.96,157.2876568535,15901300
2013-02-10,204.19,205.02,198.68,155.2583492337,16419900
2013-02-17,200.98,201.95,199.02,154.7194715836,14498300
2013-02-24,200.6,201.89,198.11,154.8041523572,13744500
2013-03-03,201.67,203.123,197.51,156.2052342473,19419000
2013-03-10,202.59,210.74,202.55,161.9558285987,18680900
2013-03-17,210.04,215.9,209.04,165.4508350719,23433000
2013-03-24,212.9,215.82,210.11,163.2645314631,18085500
2013-03-31,212.54,213.44,209.735,164.2037182246,12516100
2013-04-07,212.8,214.89,206.34,161.2090981407,16247600
2013-04-14,209.07,213.09,207.33,162.725653813,15273700
2013-04-21,210.44,212.0,189.76,146.2667907298,35696400
2013-04-28,191.15,195.17,187.68,149.5847374038,27976600
2013-05-05,194.78,205.319,194.65,157.4369545903,26809200
2013-05-12,203.79,205.0,201.52,158.1362458191,18700700
2013-05-19,204.18,209.5,202.04,161.2066272731,21587300
2013-05-26,208.02,210.15,204.42,159.1029906094,20259100
2013-06-02,207.44,211.98,206.04,160.8818010236,16799600
2013-06-09,208.25,210.05,201.47,159.5902299838,17768500
2013-06-16,206.97,206.98,200.34,156.3806372799,14580500
2013-06-23,203.44,206.09,193.5401,151.1679493706,22773400
2013-06-30,193.99,196.9,188.41,147.8036775003,25092600
2013-07-07,192.15,195.16,190.26,150.7580495795,12378100
2013-07-14,195.6,195.78,190.78,148.5461374993,20715900
2013-07-21,192.42,200.94,191.68,149.6830293727,31679400
2013-07-28,193.4,197.83,193.2804,152.6296674936,14719100
2013-08-04,196.83,197.83,193.2215,150.9359306209,15338600
2013-08-11,195.16,195.88,186.79,145.991047835,20128300
2013-08-18,186.97,189.99,185.34,144.0633628248,16580500
2013-08-25,185.3,186.57,183.1685,144.1255462122,14564700
2013-09-01,185.27,187.0,181.1,141.6770753322,15052200
2013-09-08,183.63,185.0,182.31,142.2678175128,11856200
2013-09-15,183.68,193.1,183.31,149.3722695265,18194900
2013-09-22,193.7,194.89,190.02,147.7010909893,22379100
2013-09-29,190.06,192.41,186.45,145.2914847265,15079700
2013-10-06,185.56,186.74,183.0,143.0995203196,16351900
2013-10-13,181.85,186.23,178.71,144.7007425459,20859700
2013-10-20,185.41,186.99,172.57,135.0778633414,45663100
2013-10-27,174.42,179.1,172.6301,137.4641508339,29861500
2013-11-03,177.04,182.32,176.2,139.3141066099,25853600
2013-11-10,179.9,181.39,177.35,140.6465732525,25635300
2013-11-17,180.19,184.0487,179.66,143.1470956949,25682800
2013-11-24,183.52,186.24,179.92,141.6702246274,25637400
2013-12-01,180.25,180.76,177.31,140.4043351409,20384900
2013-12-08,179.46,179.59,175.16,138.8336944818,24816100
2013-12-15,177.99,178.152,172.73,135.0282118897,21870800
2013-12-22,173.22,182.0,172.73,140.6700156504,32267100
2013-12-29,181.05,186.5,180.61,144.6239667625,12400800
2014-01-05,185.32,187.79,184.67,145.8429714531,15248000
2014-01-12,187.15,190.35,185.3,146.3274476763,22947500
2014-01-19,186.26,190.81,183.86,148.5388472113,27635300
